nombre1,nombre2,apellido1,apellido2,genero,edad,fecha_nacimiento,curp,id,voto,email,password
Jose,Alfonso,Adaya,Romero,Hombre,22,2001-01-06,ADRJ010106HOMBREDFAD49F,20,4,joseadaya20@urcmac.edu.mx,adayajose20
Juan ,Pablo,Ruiz,Sanchez,Hombre,30,1993-01-08,RUSJ930108HOMBREDFRU91P,21,4,juan ruiz21@urcmac.edu.mx,ruizjuan 21
Jose,,Zarate,Romero,Hombre,24,1999-01-07,ZARJ990107HOMBREDFZA48Q,22,4,josezarate22@urcmac.edu.mx,zaratejose22
Jose,,Espinosa,Romero,Hombre,30,1993-01-08,ESRJ930108HOMBREDFES44O,23,4,joseespinosa23@urcmac.edu.mx,espinosajose23
Hector,Pablo,Espinosa,Martinez,Hombre,27,1996-01-08,ESMH960108HOMBREDFES91U,24,2,hectorespinosa24@urcmac.edu.mx,espinosahector24
Jose,Pablo,Ruiz,Martinez,Hombre,20,2003-01-06,RUMJ030106HOMBREDFRU71B,25,3,joseruiz25@urcmac.edu.mx,ruizjose25
Hector,Donaji,Espinosa,Martinez,Hombre,29,1994-01-08,ESMH940108HOMBREDFES47Z,26,3,hectorespinosa26@urcmac.edu.mx,espinosahector26
Hector,Donaji,Adaya,Cirigo,Hombre,30,1993-01-08,ADCH930108HOMBREDFAD19M,27,2,hectoradaya27@urcmac.edu.mx,adayahector27
Hector,Pablo,Hidalgo,Cirigo,Hombre,21,2002-01-06,HICH020106HOMBREDFHI43X,28,1,hectorhidalgo28@urcmac.edu.mx,hidalgohector28
Albert,,Hidalgo,Romero,Hombre,20,2003-01-06,HIRA030106HOMBREDFHI22R,29,1,alberthidalgo29@urcmac.edu.mx,hidalgoalbert29
Demian,Rogelio,Zarate,Cirigo,Hombre,30,1993-01-08,ZACD930108HOMBREDFZA87U,30,5,demianzarate30@urcmac.edu.mx,zaratedemian30
Jose,Rogelio,Zarate,Martinez,Hombre,24,1999-01-07,ZAMJ990107HOMBREDFZA82L,31,2,josezarate31@urcmac.edu.mx,zaratejose31
Albert,Alfonso,Adaya,Martinez,Hombre,20,2003-01-06,ADMA030106HOMBREDFAD61K,32,5,albertadaya32@urcmac.edu.mx,adayaalbert32
Demian,Rogelio,Ruiz,Romero,Hombre,28,1995-01-08,RURD950108HOMBREDFRU30V,33,1,demianruiz33@urcmac.edu.mx,ruizdemian33
Hector,Rogelio,Hidalgo,Martinez,Hombre,28,1995-01-08,HIMH950108HOMBREDFHI72Q,34,3,hectorhidalgo34@urcmac.edu.mx,hidalgohector34
Albert,Pablo,Adaya,Sebastian,Hombre,28,1995-01-08,ADSA950108HOMBREDFAD80O,35,2,albertadaya35@urcmac.edu.mx,adayaalbert35
Demian,Rogelio,Espinosa,Cirigo,Hombre,25,1998-01-07,ESCD980107HOMBREDFES98X,36,1,demianespinosa36@urcmac.edu.mx,espinosademian36
Jose,Pablo,Adaya,Sanchez,Hombre,26,1997-01-07,ADSJ970107HOMBREDFAD37M,37,4,joseadaya37@urcmac.edu.mx,adayajose37
Albert,Rogelio,Zarate,Sanchez,Hombre,22,2001-01-06,ZASA010106HOMBREDFZA57Z,38,3,albertzarate38@urcmac.edu.mx,zaratealbert38
Demian,Pablo,Adaya,Martinez,Hombre,29,1994-01-08,ADMD940108HOMBREDFAD84B,39,4,demianadaya39@urcmac.edu.mx,adayademian39
Albert,Donaji,Zarate,Cirigo,Hombre,26,1997-01-07,ZACA970107HOMBREDFZA50S,40,3,albertzarate40@urcmac.edu.mx,zaratealbert40
Juan ,Rogelio,Zarate,Sanchez,Hombre,29,1994-01-08,ZASJ940108HOMBREDFZA76P,41,3,juan zarate41@urcmac.edu.mx,zaratejuan 41
Albert,Donaji,Ruiz,Romero,Hombre,21,2002-01-06,RURA020106HOMBREDFRU94X,42,4,albertruiz42@urcmac.edu.mx,ruizalbert42
Albert,Rogelio,Espinosa,Sanchez,Hombre,20,2003-01-06,ESSA030106HOMBREDFES10J,43,5,albertespinosa43@urcmac.edu.mx,espinosaalbert43
Albert,,Ruiz,Cirigo,Hombre,28,1995-01-08,RUCA950108HOMBREDFRU71Q,44,2,albertruiz44@urcmac.edu.mx,ruizalbert44
Albert,Donaji,Espinosa,Cirigo,Hombre,26,1997-01-07,ESCA970107HOMBREDFES81C,45,5,albertespinosa45@urcmac.edu.mx,espinosaalbert45
Juan ,Rogelio,Espinosa,Sanchez,Hombre,28,1995-01-08,ESSJ950108HOMBREDFES35M,46,2,juan espinosa46@urcmac.edu.mx,espinosajuan 46
Juan ,,Ruiz,Cirigo,Hombre,22,2001-01-06,RUCJ010106HOMBREDFRU96P,47,1,juan ruiz47@urcmac.edu.mx,ruizjuan 47
Juan ,Donaji,Ruiz,Sebastian,Hombre,28,1995-01-08,RUSJ950108HOMBREDFRU63Y,48,2,juan ruiz48@urcmac.edu.mx,ruizjuan 48
Hector,,Adaya,Martinez,Hombre,24,1999-01-07,ADMH990107HOMBREDFAD24N,49,5,hectoradaya49@urcmac.edu.mx,adayahector49
Demian,,Adaya,Martinez,Hombre,30,1993-01-08,ADMD930108HOMBREDFAD57T,50,1,demianadaya50@urcmac.edu.mx,adayademian50
Hector,,Zarate,Romero,Hombre,27,1996-01-08,ZARH960108HOMBREDFZA54W,51,5,hectorzarate51@urcmac.edu.mx,zaratehector51
Albert,,Zarate,Sanchez,Hombre,27,1996-01-08,ZASA960108HOMBREDFZA22R,52,2,albertzarate52@urcmac.edu.mx,zaratealbert52
Jose,Rogelio,Hidalgo,Cirigo,Hombre,25,1998-01-07,HICJ980107HOMBREDFHI79U,53,4,josehidalgo53@urcmac.edu.mx,hidalgojose53
Juan ,,Zarate,Sanchez,Hombre,28,1995-01-08,ZASJ950108HOMBREDFZA21A,54,1,juan zarate54@urcmac.edu.mx,zaratejuan 54
Juan ,Alfonso,Zarate,Cirigo,Hombre,24,1999-01-07,ZACJ990107HOMBREDFZA19R,55,2,juan zarate55@urcmac.edu.mx,zaratejuan 55
Albert,,Espinosa,Sanchez,Hombre,24,1999-01-07,ESSA990107HOMBREDFES72F,56,4,albertespinosa56@urcmac.edu.mx,espinosaalbert56
Hector,Pablo,Ruiz,Martinez,Hombre,21,2002-01-06,RUMH020106HOMBREDFRU59K,57,1,hectorruiz57@urcmac.edu.mx,ruizhector57
Juan ,Alfonso,Ruiz,Romero,Hombre,24,1999-01-07,RURJ990107HOMBREDFRU55L,58,4,juan ruiz58@urcmac.edu.mx,ruizjuan 58
Juan ,,Espinosa,Sebastian,Hombre,30,1993-01-08,ESSJ930108HOMBREDFES49K,59,5,juan espinosa59@urcmac.edu.mx,espinosajuan 59
Juan ,Alfonso,Espinosa,Cirigo,Hombre,29,1994-01-08,ESCJ940108HOMBREDFES89G,60,2,juan espinosa60@urcmac.edu.mx,espinosajuan 60
Jose,,Zarate,Martinez,Hombre,23,2000-01-07,ZAMJ000107HOMBREDFZA78S,61,5,josezarate61@urcmac.edu.mx,zaratejose61
Jose,,Espinosa,Martinez,Hombre,24,1999-01-07,ESMJ990107HOMBREDFES30Y,62,2,joseespinosa62@urcmac.edu.mx,espinosajose62
Jose,,Adaya,Cirigo,Hombre,25,1998-01-07,ADCJ980107HOMBREDFAD35Y,63,3,joseadaya63@urcmac.edu.mx,adayajose63
Hector,,Hidalgo,Romero,Hombre,27,1996-01-08,HIRH960108HOMBREDFHI64J,64,5,hectorhidalgo64@urcmac.edu.mx,hidalgohector64
Demian,Alfonso,Ruiz,Sanchez,Hombre,20,2003-01-06,RUSD030106HOMBREDFRU37Z,65,3,demianruiz65@urcmac.edu.mx,ruizdemian65
Albert,Rogelio,Ruiz,Sebastian,Hombre,22,2001-01-06,RUSA010106HOMBREDFRU97W,66,2,albertruiz66@urcmac.edu.mx,ruizalbert66
Jose,Alfonso,Ruiz,Sebastian,Hombre,24,1999-01-07,RUSJ990107HOMBREDFRU31B,67,4,joseruiz67@urcmac.edu.mx,ruizjose67
Hector,Pablo,Espinosa,Cirigo,Hombre,24,1999-01-07,ESCH990107HOMBREDFES31K,68,3,hectorespinosa68@urcmac.edu.mx,espinosahector68
Juan ,Rogelio,Ruiz,Sebastian,Hombre,25,1998-01-07,RUSJ980107HOMBREDFRU96G,69,4,juan ruiz69@urcmac.edu.mx,ruizjuan 69
Jose,Pablo,Ruiz,Cirigo,Hombre,22,2001-01-06,RUCJ010106HOMBREDFRU12K,70,1,joseruiz70@urcmac.edu.mx,ruizjose70
Albert,,Hidalgo,Martinez,Hombre,30,1993-01-08,HIMA930108HOMBREDFHI14V,71,5,alberthidalgo71@urcmac.edu.mx,hidalgoalbert71
Hector,Donaji,Espinosa,Cirigo,Hombre,24,1999-01-07,ESCH990107HOMBREDFES63M,72,1,hectorespinosa72@urcmac.edu.mx,espinosahector72
Demian,Rogelio,Ruiz,Martinez,Hombre,23,2000-01-07,RUMD000107HOMBREDFRU13E,73,3,demianruiz73@urcmac.edu.mx,ruizdemian73
Hector,Rogelio,Zarate,Romero,Hombre,20,2003-01-06,ZARH030106HOMBREDFZA27P,74,2,hectorzarate74@urcmac.edu.mx,zaratehector74
Hector,Rogelio,Adaya,Cirigo,Hombre,30,1993-01-08,ADCH930108HOMBREDFAD60L,75,2,hectoradaya75@urcmac.edu.mx,adayahector75
Albert,Pablo,Ruiz,Martinez,Hombre,27,1996-01-08,RUMA960108HOMBREDFRU36J,76,4,albertruiz76@urcmac.edu.mx,ruizalbert76
Albert,Alfonso,Zarate,Romero,Hombre,22,2001-01-06,ZARA010106HOMBREDFZA40X,77,2,albertzarate77@urcmac.edu.mx,zaratealbert77
Jose,Rogelio,Zarate,Cirigo,Hombre,25,1998-01-07,ZACJ980107HOMBREDFZA85Z,78,3,josezarate78@urcmac.edu.mx,zaratejose78
Albert,Alfonso,Adaya,Cirigo,Hombre,30,1993-01-08,ADCA930108HOMBREDFAD41S,79,2,albertadaya79@urcmac.edu.mx,adayaalbert79
Albert,Donaji,Ruiz,Martinez,Hombre,28,1995-01-08,RUMA950108HOMBREDFRU63Z,80,2,albertruiz80@urcmac.edu.mx,ruizalbert80
Jose,Rogelio,Ruiz,Romero,Hombre,22,2001-01-06,RURJ010106HOMBREDFRU62Y,81,3,joseruiz81@urcmac.edu.mx,ruizjose81
Hector,Rogelio,Hidalgo,Cirigo,Hombre,26,1997-01-07,HICH970107HOMBREDFHI33C,82,4,hectorhidalgo82@urcmac.edu.mx,hidalgohector82
Hector,Rogelio,Espinosa,Romero,Hombre,26,1997-01-07,ESRH970107HOMBREDFES43C,83,3,hectorespinosa83@urcmac.edu.mx,espinosahector83
Juan ,Pablo,Zarate,Cirigo,Hombre,29,1994-01-08,ZACJ940108HOMBREDFZA17A,84,5,juan zarate84@urcmac.edu.mx,zaratejuan 84
Albert,Alfonso,Espinosa,Romero,Hombre,23,2000-01-07,ESRA000107HOMBREDFES76H,85,5,albertespinosa85@urcmac.edu.mx,espinosaalbert85
Demian,Pablo,Zarate,Romero,Hombre,21,2002-01-06,ZARD020106HOMBREDFZA92J,86,2,demianzarate86@urcmac.edu.mx,zaratedemian86
Demian,Pablo,Adaya,Cirigo,Hombre,23,2000-01-07,ADCD000107HOMBREDFAD76Y,87,5,demianadaya87@urcmac.edu.mx,adayademian87
Albert,Pablo,Adaya,Sanchez,Hombre,24,1999-01-07,ADSA990107HOMBREDFAD56Y,88,3,albertadaya88@urcmac.edu.mx,adayaalbert88
Hector,,Adaya,Cirigo,Hombre,29,1994-01-08,ADCH940108HOMBREDFAD15Q,89,3,hectoradaya89@urcmac.edu.mx,adayahector89
Jose,Rogelio,Espinosa,Martinez,Hombre,21,2002-01-06,ESMJ020106HOMBREDFES54T,90,2,joseespinosa90@urcmac.edu.mx,espinosajose90
Juan ,Pablo,Adaya,Sebastian,Hombre,30,1993-01-08,ADSJ930108HOMBREDFAD19B,91,3,juan adaya91@urcmac.edu.mx,adayajuan 91
Demian,,Adaya,Cirigo,Hombre,27,1996-01-08,ADCD960108HOMBREDFAD93W,92,4,demianadaya92@urcmac.edu.mx,adayademian92
Juan ,Donaji,Ruiz,Sanchez,Hombre,29,1994-01-08,RUSJ940108HOMBREDFRU23I,93,5,juan ruiz93@urcmac.edu.mx,ruizjuan 93
Albert,Rogelio,Hidalgo,Martinez,Hombre,27,1996-01-08,HIMA960108HOMBREDFHI50T,94,5,alberthidalgo94@urcmac.edu.mx,hidalgoalbert94
Hector,Alfonso,Adaya,Romero,Hombre,24,1999-01-07,ADRH990107HOMBREDFAD46I,95,1,hectoradaya95@urcmac.edu.mx,adayahector95
Jose,Donaji,Adaya,Romero,Hombre,21,2002-01-06,ADRJ020106HOMBREDFAD36P,96,1,joseadaya96@urcmac.edu.mx,adayajose96
Juan ,Rogelio,Hidalgo,Martinez,Hombre,23,2000-01-07,HIMJ000107HOMBREDFHI34F,97,2,juan hidalgo97@urcmac.edu.mx,hidalgojuan 97
Jose,Pablo,Hidalgo,Romero,Hombre,20,2003-01-06,HIRJ030106HOMBREDFHI60P,98,2,josehidalgo98@urcmac.edu.mx,hidalgojose98
Jose,,Zarate,Cirigo,Hombre,27,1996-01-08,ZACJ960108HOMBREDFZA40D,99,3,josezarate99@urcmac.edu.mx,zaratejose99
Jose,,Ruiz,Romero,Hombre,21,2002-01-06,RURJ020106HOMBREDFRU63G,100,4,joseruiz100@urcmac.edu.mx,ruizjose100
Jose,,Espinosa,Cirigo,Hombre,27,1996-01-08,ESCJ960108HOMBREDFES29S,101,5,joseespinosa101@urcmac.edu.mx,espinosajose101
Juan ,,Espinosa,Sanchez,Hombre,29,1994-01-08,ESSJ940108HOMBREDFES77M,102,1,juan espinosa102@urcmac.edu.mx,espinosajuan 102
Hector,Rogelio,Zarate,Martinez,Hombre,21,2002-01-06,ZAMH020106HOMBREDFZA14T,103,1,hectorzarate103@urcmac.edu.mx,zaratehector103
Albert,,Hidalgo,Cirigo,Hombre,20,2003-01-06,HICA030106HOMBREDFHI46Z,104,5,alberthidalgo104@urcmac.edu.mx,hidalgoalbert104
Albert,Alfonso,Zarate,Martinez,Hombre,27,1996-01-08,ZAMA960108HOMBREDFZA57P,105,5,albertzarate105@urcmac.edu.mx,zaratealbert105
Hector,Rogelio,Espinosa,Martinez,Hombre,22,2001-01-06,ESMH010106HOMBREDFES58Y,106,2,hectorespinosa106@urcmac.edu.mx,espinosahector106
Juan ,Donaji,Hidalgo,Sebastian,Hombre,22,2001-01-06,HISJ010106HOMBREDFHI91C,107,1,juan hidalgo107@urcmac.edu.mx,hidalgojuan 107
Hector,Pablo,Adaya,Sanchez,Hombre,29,1994-01-08,ADSH940108HOMBREDFAD53R,108,5,hectoradaya108@urcmac.edu.mx,adayahector108
Albert,Alfonso,Espinosa,Martinez,Hombre,20,2003-01-06,ESMA030106HOMBREDFES86U,109,1,albertespinosa109@urcmac.edu.mx,espinosaalbert109
Juan ,Pablo,Ruiz,Martinez,Hombre,26,1997-01-07,RUMJ970107HOMBREDFRU10E,110,2,juan ruiz110@urcmac.edu.mx,ruizjuan 110
Albert,Pablo,Ruiz,Cirigo,Hombre,20,2003-01-06,RUCA030106HOMBREDFRU20T,111,4,albertruiz111@urcmac.edu.mx,ruizalbert111
Albert,Rogelio,Ruiz,Sanchez,Hombre,20,2003-01-06,RUSA030106HOMBREDFRU38P,112,2,albertruiz112@urcmac.edu.mx,ruizalbert112
Jose,Alfonso,Ruiz,Sanchez,Hombre,24,1999-01-07,RUSJ990107HOMBREDFRU97F,113,2,joseruiz113@urcmac.edu.mx,ruizjose113
Albert,Donaji,Ruiz,Cirigo,Hombre,26,1997-01-07,RUCA970107HOMBREDFRU26Z,114,5,albertruiz114@urcmac.edu.mx,ruizalbert114
Juan ,Rogelio,Ruiz,Sanchez,Hombre,30,1993-01-08,RUSJ930108HOMBREDFRU58Z,115,3,juan ruiz115@urcmac.edu.mx,ruizjuan 115
Juan ,,Hidalgo,Romero,Hombre,25,1998-01-07,HIRJ980107HOMBREDFHI45Z,116,1,juan hidalgo116@urcmac.edu.mx,hidalgojuan 116
Hector,,Ruiz,Romero,Hombre,29,1994-01-08,RURH940108HOMBREDFRU52S,117,4,hectorruiz117@urcmac.edu.mx,ruizhector117
Jose,Rogelio,Espinosa,Cirigo,Hombre,27,1996-01-08,ESCJ960108HOMBREDFES78M,118,3,joseespinosa118@urcmac.edu.mx,espinosajose118
Jose,Pablo,Adaya,Martinez,Hombre,26,1997-01-07,ADMJ970107HOMBREDFAD39P,119,4,joseadaya119@urcmac.edu.mx,adayajose119
Demian,Alfonso,Hidalgo,Sebastian,Hombre,28,1995-01-08,HISD950108HOMBREDFHI14O,120,2,demianhidalgo120@urcmac.edu.mx,hidalgodemian120
Demian,Pablo,Espinosa,Romero,Hombre,28,1995-01-08,ESRD950108HOMBREDFES77T,121,2,demianespinosa121@urcmac.edu.mx,espinosademian121
Jose,Pablo,Zarate,Romero,Hombre,29,1994-01-08,ZARJ940108HOMBREDFZA93T,122,5,josezarate122@urcmac.edu.mx,zaratejose122
Albert,Rogelio,Hidalgo,Cirigo,Hombre,22,2001-01-06,HICA010106HOMBREDFHI42L,123,3,alberthidalgo123@urcmac.edu.mx,hidalgoalbert123
Jose,Pablo,Espinosa,Romero,Hombre,27,1996-01-08,ESRJ960108HOMBREDFES83X,124,2,joseespinosa124@urcmac.edu.mx,espinosajose124
Juan ,Pablo,Adaya,Sanchez,Hombre,21,2002-01-06,ADSJ020106HOMBREDFAD20X,125,4,juan adaya125@urcmac.edu.mx,adayajuan 125
Hector,,Espinosa,Romero,Hombre,21,2002-01-06,ESRH020106HOMBREDFES55I,126,2,hectorespinosa126@urcmac.edu.mx,espinosahector126
Demian,Rogelio,Adaya,Romero,Hombre,28,1995-01-08,ADRD950108HOMBREDFAD89R,127,2,demianadaya127@urcmac.edu.mx,adayademian127
Juan ,Rogelio,Hidalgo,Cirigo,Hombre,28,1995-01-08,HICJ950108HOMBREDFHI57S,128,3,juan hidalgo128@urcmac.edu.mx,hidalgojuan 128
Hector,Alfonso,Ruiz,Sebastian,Hombre,20,2003-01-06,RUSH030106HOMBREDFRU98Q,129,2,hectorruiz129@urcmac.edu.mx,ruizhector129
Albert,,Zarate,Martinez,Hombre,23,2000-01-07,ZAMA000107HOMBREDFZA65E,130,2,albertzarate130@urcmac.edu.mx,zaratealbert130
Albert,Donaji,Adaya,Romero,Hombre,21,2002-01-06,ADRA020106HOMBREDFAD26K,131,4,albertadaya131@urcmac.edu.mx,adayaalbert131
Juan ,,Zarate,Martinez,Hombre,20,2003-01-06,ZAMJ030106HOMBREDFZA84W,132,2,juan zarate132@urcmac.edu.mx,zaratejuan 132
Albert,Pablo,Hidalgo,Romero,Hombre,28,1995-01-08,HIRA950108HOMBREDFHI15L,133,3,alberthidalgo133@urcmac.edu.mx,hidalgoalbert133
Albert,,Espinosa,Martinez,Hombre,22,2001-01-06,ESMA010106HOMBREDFES60K,134,4,albertespinosa134@urcmac.edu.mx,espinosaalbert134
Juan ,,Adaya,Cirigo,Hombre,26,1997-01-07,ADCJ970107HOMBREDFAD18V,135,4,juan adaya135@urcmac.edu.mx,adayajuan 135
Juan ,Donaji,Adaya,Sebastian,Hombre,24,1999-01-07,ADSJ990107HOMBREDFAD65N,136,2,juan adaya136@urcmac.edu.mx,adayajuan 136
Hector,Rogelio,Zarate,Cirigo,Hombre,26,1997-01-07,ZACH970107HOMBREDFZA87A,137,4,hectorzarate137@urcmac.edu.mx,zaratehector137
Hector,Rogelio,Ruiz,Romero,Hombre,29,1994-01-08,RURH940108HOMBREDFRU64H,138,5,hectorruiz138@urcmac.edu.mx,ruizhector138
Albert,Alfonso,Ruiz,Romero,Hombre,29,1994-01-08,RURA940108HOMBREDFRU40Z,139,4,albertruiz139@urcmac.edu.mx,ruizalbert139
Hector,Rogelio,Espinosa,Cirigo,Hombre,27,1996-01-08,ESCH960108HOMBREDFES59I,140,3,hectorespinosa140@urcmac.edu.mx,espinosahector140
Demian,Alfonso,Zarate,Sebastian,Hombre,24,1999-01-07,ZASD990107HOMBREDFZA21L,141,4,demianzarate141@urcmac.edu.mx,zaratedemian141
Juan ,Pablo,Ruiz,Cirigo,Hombre,21,2002-01-06,RUCJ020106HOMBREDFRU75C,142,3,juan ruiz142@urcmac.edu.mx,ruizjuan 142
Juan ,Alfonso,Adaya,Romero,Hombre,29,1994-01-08,ADRJ940108HOMBREDFAD77A,143,3,juan adaya143@urcmac.edu.mx,adayajuan 143
Demian,Donaji,Hidalgo,Sebastian,Hombre,22,2001-01-06,HISD010106HOMBREDFHI48H,144,5,demianhidalgo144@urcmac.edu.mx,hidalgodemian144
Juan ,,Hidalgo,Martinez,Hombre,29,1994-01-08,HIMJ940108HOMBREDFHI31Q,145,5,juan hidalgo145@urcmac.edu.mx,hidalgojuan 145
Hector,Pablo,Zarate,Romero,Hombre,24,1999-01-07,ZARH990107HOMBREDFZA70W,146,2,hectorzarate146@urcmac.edu.mx,zaratehector146
Juan ,Donaji,Hidalgo,Sanchez,Hombre,30,1993-01-08,HISJ930108HOMBREDFHI30Q,147,4,juan hidalgo147@urcmac.edu.mx,hidalgojuan 147
Demian,,Hidalgo,Sebastian,Hombre,27,1996-01-08,HISD960108HOMBREDFHI26X,148,4,demianhidalgo148@urcmac.edu.mx,hidalgodemian148
Demian,Alfonso,Adaya,Sebastian,Hombre,23,2000-01-07,ADSD000107HOMBREDFAD87Y,149,3,demianadaya149@urcmac.edu.mx,adayademian149
Hector,Donaji,Ruiz,Sebastian,Hombre,27,1996-01-08,RUSH960108HOMBREDFRU26W,150,3,hectorruiz150@urcmac.edu.mx,ruizhector150
Albert,Rogelio,Adaya,Sebastian,Hombre,30,1993-01-08,ADSA930108HOMBREDFAD79V,151,3,albertadaya151@urcmac.edu.mx,adayaalbert151
Hector,Donaji,Adaya,Romero,Hombre,25,1998-01-07,ADRH980107HOMBREDFAD14I,152,5,hectoradaya152@urcmac.edu.mx,adayahector152
Juan ,Rogelio,Adaya,Sebastian,Hombre,29,1994-01-08,ADSJ940108HOMBREDFAD85G,153,4,juan adaya153@urcmac.edu.mx,adayajuan 153
Jose,Pablo,Adaya,Cirigo,Hombre,29,1994-01-08,ADCJ940108HOMBREDFAD50U,154,5,joseadaya154@urcmac.edu.mx,adayajose154
Albert,Rogelio,Zarate,Cirigo,Hombre,27,1996-01-08,ZACA960108HOMBREDFZA76G,155,5,albertzarate155@urcmac.edu.mx,zaratealbert155
Jose,Alfonso,Hidalgo,Sebastian,Hombre,21,2002-01-06,HISJ020106HOMBREDFHI36K,156,2,josehidalgo156@urcmac.edu.mx,hidalgojose156
Hector,Pablo,Hidalgo,Romero,Hombre,27,1996-01-08,HIRH960108HOMBREDFHI55J,157,3,hectorhidalgo157@urcmac.edu.mx,hidalgohector157
Demian,Rogelio,Adaya,Martinez,Hombre,24,1999-01-07,ADMD990107HOMBREDFAD80H,158,5,demianadaya158@urcmac.edu.mx,adayademian158
Hector,,Espinosa,Martinez,Hombre,22,2001-01-06,ESMH010106HOMBREDFES82U,159,1,hectorespinosa159@urcmac.edu.mx,espinosahector159
Juan ,Rogelio,Zarate,Cirigo,Hombre,27,1996-01-08,ZACJ960108HOMBREDFZA52R,160,2,juan zarate160@urcmac.edu.mx,zaratejuan 160
Albert,Rogelio,Espinosa,Cirigo,Hombre,22,2001-01-06,ESCA010106HOMBREDFES60K,161,4,albertespinosa161@urcmac.edu.mx,espinosaalbert161
Demian,Rogelio,Zarate,Romero,Hombre,29,1994-01-08,ZARD940108HOMBREDFZA51V,162,4,demianzarate162@urcmac.edu.mx,zaratedemian162
Juan ,Rogelio,Espinosa,Cirigo,Hombre,24,1999-01-07,ESCJ990107HOMBREDFES57V,163,2,juan espinosa163@urcmac.edu.mx,espinosajuan 163
Albert,Pablo,Adaya,Martinez,Hombre,26,1997-01-07,ADMA970107HOMBREDFAD70L,164,5,albertadaya164@urcmac.edu.mx,adayaalbert164
Albert,Donaji,Adaya,Martinez,Hombre,24,1999-01-07,ADMA990107HOMBREDFAD99L,165,5,albertadaya165@urcmac.edu.mx,adayaalbert165
Demian,Rogelio,Espinosa,Romero,Hombre,20,2003-01-06,ESRD030106HOMBREDFES16A,166,5,demianespinosa166@urcmac.edu.mx,espinosademian166
Albert,Pablo,Hidalgo,Martinez,Hombre,29,1994-01-08,HIMA940108HOMBREDFHI79H,167,1,alberthidalgo167@urcmac.edu.mx,hidalgoalbert167
Albert,Pablo,Zarate,Romero,Hombre,28,1995-01-08,ZARA950108HOMBREDFZA23V,168,3,albertzarate168@urcmac.edu.mx,zaratealbert168
