Unnamed: 0,nombre1,nombre2,apellido1,apellido2,genero,edad,id,voto,email,password
38,Hector,Rogelio,Zarate,Martinez,Hombre,26,39,2.0,hectorzarate39@urcmac.edu.mx,zaratehector39
39,Jose,Donaji,Adaya,Sanchez,Hombre,29,40,4.0,joseadaya40@urcmac.edu.mx,adayajose40
40,Jose,Rogelio,Zarate,Sebastian,Hombre,28,41,4.0,josezarate41@urcmac.edu.mx,zaratejose41
41,Juan ,Alfonso,Hidalgo,Martinez,Hombre,23,42,4.0,juan hidalgo42@urcmac.edu.mx,hidalgojuan 42
42,Juan ,Donaji,Hidalgo,Sebastian,Hombre,20,43,2.0,juan hidalgo43@urcmac.edu.mx,hidalgojuan 43
43,Demian,Donaji,Hidalgo,Romero,Hombre,30,44,3.0,demianhidalgo44@urcmac.edu.mx,hidalgodemian44
44,Albert,Alfonso,Adaya,Sebastian,Hombre,28,45,2.0,albertadaya45@urcmac.edu.mx,adayaalbert45
45,Juan ,Donaji,Adaya,Martinez,Hombre,28,46,5.0,juan adaya46@urcmac.edu.mx,adayajuan 46
46,Jose,Rogelio,Adaya,Cirigo,Hombre,30,47,3.0,joseadaya47@urcmac.edu.mx,adayajose47
47,Hector,Pablo,Ruiz,Sanchez,Hombre,22,48,2.0,hectorruiz48@urcmac.edu.mx,ruizhector48
48,Jose,Pablo,Adaya,Romero,Hombre,25,49,5.0,joseadaya49@urcmac.edu.mx,adayajose49
49,Hector,,Adaya,Cirigo,Hombre,23,50,2.0,hectoradaya50@urcmac.edu.mx,adayahector50
50,Hector,Rogelio,Espinosa,Romero,Hombre,27,51,5.0,hectorespinosa51@urcmac.edu.mx,espinosahector51
51,Juan ,Alfonso,Ruiz,Sanchez,Hombre,27,52,4.0,juan ruiz52@urcmac.edu.mx,ruizjuan 52
52,Demian,Alfonso,Zarate,Romero,Hombre,25,53,3.0,demianzarate53@urcmac.edu.mx,zaratedemian53
53,Demian,Donaji,Hidalgo,Martinez,Hombre,20,54,3.0,demianhidalgo54@urcmac.edu.mx,hidalgodemian54
54,Albert,Rogelio,Ruiz,Cirigo,Hombre,28,55,3.0,albertruiz55@urcmac.edu.mx,ruizalbert55
55,Demian,Pablo,Hidalgo,Sebastian,Hombre,28,56,3.0,demianhidalgo56@urcmac.edu.mx,hidalgodemian56
56,Jose,Pablo,Adaya,Martinez,Hombre,21,57,3.0,joseadaya57@urcmac.edu.mx,adayajose57
57,Albert,Rogelio,Zarate,Romero,Hombre,30,58,2.0,albertzarate58@urcmac.edu.mx,zaratealbert58
58,Jose,Donaji,Ruiz,Romero,Hombre,25,59,4.0,joseruiz59@urcmac.edu.mx,ruizjose59
59,Juan ,Donaji,Hidalgo,Cirigo,Hombre,27,60,5.0,juan hidalgo60@urcmac.edu.mx,hidalgojuan 60
60,Hector,Rogelio,Espinosa,Martinez,Hombre,30,61,5.0,hectorespinosa61@urcmac.edu.mx,espinosahector61
61,Demian,,Adaya,Sebastian,Hombre,26,62,5.0,demianadaya62@urcmac.edu.mx,adayademian62
62,Demian,Alfonso,Zarate,Martinez,Hombre,21,63,4.0,demianzarate63@urcmac.edu.mx,zaratedemian63
63,Jose,Pablo,Hidalgo,Sebastian,Hombre,27,64,4.0,josehidalgo64@urcmac.edu.mx,hidalgojose64
64,Juan ,Pablo,Ruiz,Sanchez,Hombre,21,65,1.0,juan ruiz65@urcmac.edu.mx,ruizjuan 65
65,Juan ,,Espinosa,Romero,Hombre,30,66,5.0,juan espinosa66@urcmac.edu.mx,espinosajuan 66
66,Albert,Rogelio,Espinosa,Romero,Hombre,25,67,2.0,albertespinosa67@urcmac.edu.mx,espinosaalbert67
67,Jose,Donaji,Ruiz,Martinez,Hombre,30,68,1.0,joseruiz68@urcmac.edu.mx,ruizjose68
68,Juan ,,Ruiz,Sebastian,Hombre,26,69,5.0,juan ruiz69@urcmac.edu.mx,ruizjuan 69
69,Demian,Alfonso,Adaya,Romero,Hombre,26,70,3.0,demianadaya70@urcmac.edu.mx,adayademian70
70,Hector,,Hidalgo,Romero,Hombre,22,71,1.0,hectorhidalgo71@urcmac.edu.mx,hidalgohector71
71,Jose,Alfonso,Ruiz,Sanchez,Hombre,25,72,2.0,joseruiz72@urcmac.edu.mx,ruizjose72
72,Juan ,Rogelio,Espinosa,Sanchez,Hombre,24,73,3.0,juan espinosa73@urcmac.edu.mx,espinosajuan 73
73,Demian,Pablo,Hidalgo,Cirigo,Hombre,29,74,1.0,demianhidalgo74@urcmac.edu.mx,hidalgodemian74
74,Jose,Alfonso,Ruiz,Cirigo,Hombre,26,75,3.0,joseruiz75@urcmac.edu.mx,ruizjose75
75,Albert,Rogelio,Espinosa,Martinez,Hombre,23,76,5.0,albertespinosa76@urcmac.edu.mx,espinosaalbert76
76,Hector,Rogelio,Hidalgo,Sanchez,Hombre,28,77,4.0,hectorhidalgo77@urcmac.edu.mx,hidalgohector77
77,Albert,Donaji,Ruiz,Sanchez,Hombre,25,78,5.0,albertruiz78@urcmac.edu.mx,ruizalbert78
78,Albert,,Espinosa,Sanchez,Hombre,26,79,3.0,albertespinosa79@urcmac.edu.mx,espinosaalbert79
79,Demian,Alfonso,Adaya,Martinez,Hombre,28,80,3.0,demianadaya80@urcmac.edu.mx,adayademian80
80,Hector,,Hidalgo,Martinez,Hombre,25,81,4.0,hectorhidalgo81@urcmac.edu.mx,hidalgohector81
81,Jose,Pablo,Hidalgo,Cirigo,Hombre,23,82,5.0,josehidalgo82@urcmac.edu.mx,hidalgojose82
82,Demian,Pablo,Adaya,Romero,Hombre,23,83,1.0,demianadaya83@urcmac.edu.mx,adayademian83
83,Albert,Donaji,Ruiz,Cirigo,Hombre,20,84,2.0,albertruiz84@urcmac.edu.mx,ruizalbert84
84,Hector,Pablo,Zarate,Sanchez,Hombre,23,85,1.0,hectorzarate85@urcmac.edu.mx,zaratehector85
85,Albert,Alfonso,Hidalgo,Romero,Hombre,29,86,3.0,alberthidalgo86@urcmac.edu.mx,hidalgoalbert86
86,Juan ,,Ruiz,Cirigo,Hombre,23,87,5.0,juan ruiz87@urcmac.edu.mx,ruizjuan 87
87,Demian,Alfonso,Espinosa,Sebastian,Hombre,22,88,4.0,demianespinosa88@urcmac.edu.mx,espinosademian88
88,Hector,Rogelio,Adaya,Sanchez,Hombre,20,89,3.0,hectoradaya89@urcmac.edu.mx,adayahector89
89,Hector,Rogelio,Zarate,Sebastian,Hombre,25,90,2.0,hectorzarate90@urcmac.edu.mx,zaratehector90
90,Demian,Pablo,Adaya,Martinez,Hombre,26,91,2.0,demianadaya91@urcmac.edu.mx,adayademian91
91,Juan ,Alfonso,Hidalgo,Sebastian,Hombre,26,92,5.0,juan hidalgo92@urcmac.edu.mx,hidalgojuan 92
92,Hector,Pablo,Espinosa,Sanchez,Hombre,20,93,4.0,hectorespinosa93@urcmac.edu.mx,espinosahector93
93,Hector,Rogelio,Adaya,Cirigo,Hombre,29,94,1.0,hectoradaya94@urcmac.edu.mx,adayahector94
94,Hector,Donaji,Ruiz,Sanchez,Hombre,26,95,3.0,hectorruiz95@urcmac.edu.mx,ruizhector95
95,Albert,Alfonso,Hidalgo,Martinez,Hombre,30,96,4.0,alberthidalgo96@urcmac.edu.mx,hidalgoalbert96
96,Juan ,Donaji,Adaya,Sebastian,Hombre,30,97,5.0,juan adaya97@urcmac.edu.mx,adayajuan 97
97,Demian,Alfonso,Hidalgo,Sanchez,Hombre,20,98,3.0,demianhidalgo98@urcmac.edu.mx,hidalgodemian98
98,Hector,Pablo,Adaya,Sanchez,Hombre,20,99,4.0,hectoradaya99@urcmac.edu.mx,adayahector99
99,Hector,Alfonso,Hidalgo,Romero,Hombre,21,100,4.0,hectorhidalgo100@urcmac.edu.mx,hidalgohector100
100,Albert,,Zarate,Sanchez,Hombre,27,101,1.0,albertzarate101@urcmac.edu.mx,zaratealbert101
101,Albert,,Ruiz,Romero,Hombre,27,102,4.0,albertruiz102@urcmac.edu.mx,ruizalbert102
102,Demian,Donaji,Hidalgo,Sebastian,Hombre,24,103,2.0,demianhidalgo103@urcmac.edu.mx,hidalgodemian103
103,Albert,Rogelio,Hidalgo,Sanchez,Hombre,29,104,5.0,alberthidalgo104@urcmac.edu.mx,hidalgoalbert104
104,Demian,Alfonso,Espinosa,Cirigo,Hombre,24,105,1.0,demianespinosa105@urcmac.edu.mx,espinosademian105
105,Hector,Rogelio,Zarate,Cirigo,Hombre,30,106,1.0,hectorzarate106@urcmac.edu.mx,zaratehector106
106,Hector,Rogelio,Espinosa,Sebastian,Hombre,22,107,3.0,hectorespinosa107@urcmac.edu.mx,espinosahector107
107,Hector,Alfonso,Hidalgo,Martinez,Hombre,29,108,2.0,hectorhidalgo108@urcmac.edu.mx,hidalgohector108
108,Demian,Alfonso,Zarate,Sebastian,Hombre,29,109,1.0,demianzarate109@urcmac.edu.mx,zaratedemian109
109,Albert,,Ruiz,Martinez,Hombre,27,110,5.0,albertruiz110@urcmac.edu.mx,ruizalbert110
110,Albert,Rogelio,Zarate,Sebastian,Hombre,24,111,2.0,albertzarate111@urcmac.edu.mx,zaratealbert111
111,Jose,Donaji,Ruiz,Sebastian,Hombre,26,112,5.0,joseruiz112@urcmac.edu.mx,ruizjose112
112,Albert,Pablo,Espinosa,Sanchez,Hombre,24,113,3.0,albertespinosa113@urcmac.edu.mx,espinosaalbert113
113,Hector,Alfonso,Ruiz,Sanchez,Hombre,24,114,2.0,hectorruiz114@urcmac.edu.mx,ruizhector114
114,Demian,Donaji,Hidalgo,Cirigo,Hombre,30,115,2.0,demianhidalgo115@urcmac.edu.mx,hidalgodemian115
115,Juan ,,Espinosa,Sebastian,Hombre,28,116,3.0,juan espinosa116@urcmac.edu.mx,espinosajuan 116
116,Albert,Rogelio,Espinosa,Sebastian,Hombre,23,117,2.0,albertespinosa117@urcmac.edu.mx,espinosaalbert117
117,Hector,Rogelio,Espinosa,Cirigo,Hombre,21,118,3.0,hectorespinosa118@urcmac.edu.mx,espinosahector118
118,Demian,Alfonso,Zarate,Cirigo,Hombre,27,119,2.0,demianzarate119@urcmac.edu.mx,zaratedemian119
119,Demian,Donaji,Adaya,Romero,Hombre,28,120,4.0,demianadaya120@urcmac.edu.mx,adayademian120
120,Demian,Alfonso,Adaya,Sebastian,Hombre,27,121,4.0,demianadaya121@urcmac.edu.mx,adayademian121
121,Hector,,Hidalgo,Sebastian,Hombre,29,122,3.0,hectorhidalgo122@urcmac.edu.mx,hidalgohector122
122,Hector,Donaji,Zarate,Sanchez,Hombre,29,123,3.0,hectorzarate123@urcmac.edu.mx,zaratehector123
123,Albert,Rogelio,Zarate,Cirigo,Hombre,28,124,3.0,albertzarate124@urcmac.edu.mx,zaratealbert124
124,Juan ,,Hidalgo,Sanchez,Hombre,23,125,1.0,juan hidalgo125@urcmac.edu.mx,hidalgojuan 125
125,Jose,Donaji,Zarate,Romero,Hombre,28,126,5.0,josezarate126@urcmac.edu.mx,zaratejose126
126,Juan ,Alfonso,Espinosa,Sanchez,Hombre,26,127,2.0,juan espinosa127@urcmac.edu.mx,espinosajuan 127
127,Demian,Donaji,Adaya,Martinez,Hombre,25,128,5.0,demianadaya128@urcmac.edu.mx,adayademian128
128,Albert,Pablo,Zarate,Sanchez,Hombre,23,129,3.0,albertzarate129@urcmac.edu.mx,zaratealbert129
129,Juan ,,Espinosa,Cirigo,Hombre,29,130,3.0,juan espinosa130@urcmac.edu.mx,espinosajuan 130
130,Jose,Rogelio,Hidalgo,Romero,Hombre,20,131,5.0,josehidalgo131@urcmac.edu.mx,hidalgojose131
131,Demian,Pablo,Adaya,Sebastian,Hombre,28,132,3.0,demianadaya132@urcmac.edu.mx,adayademian132
132,Demian,,Hidalgo,Romero,Hombre,29,133,5.0,demianhidalgo133@urcmac.edu.mx,hidalgodemian133
133,Albert,Pablo,Ruiz,Romero,Hombre,27,134,4.0,albertruiz134@urcmac.edu.mx,ruizalbert134
134,Albert,Rogelio,Espinosa,Cirigo,Hombre,30,135,5.0,albertespinosa135@urcmac.edu.mx,espinosaalbert135
135,Jose,Donaji,Espinosa,Romero,Hombre,29,136,3.0,joseespinosa136@urcmac.edu.mx,espinosajose136
136,Jose,Donaji,Zarate,Martinez,Hombre,22,137,2.0,josezarate137@urcmac.edu.mx,zaratejose137
137,Albert,Alfonso,Ruiz,Sanchez,Hombre,23,138,1.0,albertruiz138@urcmac.edu.mx,ruizalbert138
138,Demian,Alfonso,Adaya,Cirigo,Hombre,28,139,1.0,demianadaya139@urcmac.edu.mx,adayademian139
139,Hector,,Hidalgo,Cirigo,Hombre,28,140,3.0,hectorhidalgo140@urcmac.edu.mx,hidalgohector140
140,Jose,Alfonso,Zarate,Sanchez,Hombre,26,141,5.0,josezarate141@urcmac.edu.mx,zaratejose141
141,Juan ,Pablo,Espinosa,Sanchez,Hombre,25,142,2.0,juan espinosa142@urcmac.edu.mx,espinosajuan 142
142,Jose,Rogelio,Hidalgo,Martinez,Hombre,25,143,1.0,josehidalgo143@urcmac.edu.mx,hidalgojose143
143,Albert,Rogelio,Adaya,Cirigo,Hombre,25,144,3.0,albertadaya144@urcmac.edu.mx,adayaalbert144
144,Demian,,Hidalgo,Martinez,Hombre,29,145,2.0,demianhidalgo145@urcmac.edu.mx,hidalgodemian145
145,Albert,Pablo,Ruiz,Martinez,Hombre,28,146,4.0,albertruiz146@urcmac.edu.mx,ruizalbert146
146,Jose,Donaji,Adaya,Romero,Hombre,29,147,3.0,joseadaya147@urcmac.edu.mx,adayajose147
147,Jose,Donaji,Espinosa,Martinez,Hombre,22,148,1.0,joseespinosa148@urcmac.edu.mx,espinosajose148
148,Hector,,Adaya,Romero,Hombre,26,149,3.0,hectoradaya149@urcmac.edu.mx,adayahector149
149,Hector,Rogelio,Ruiz,Martinez,Hombre,29,150,3.0,hectorruiz150@urcmac.edu.mx,ruizhector150
150,Hector,Pablo,Ruiz,Romero,Hombre,21,151,2.0,hectorruiz151@urcmac.edu.mx,ruizhector151
151,Jose,Alfonso,Espinosa,Sanchez,Hombre,27,152,5.0,joseespinosa152@urcmac.edu.mx,espinosajose152
152,Demian,Pablo,Adaya,Cirigo,Hombre,29,153,3.0,demianadaya153@urcmac.edu.mx,adayademian153
153,Hector,Alfonso,Hidalgo,Sebastian,Hombre,24,154,1.0,hectorhidalgo154@urcmac.edu.mx,hidalgohector154
154,Jose,Rogelio,Ruiz,Sanchez,Hombre,24,155,2.0,joseruiz155@urcmac.edu.mx,ruizjose155
155,Jose,Alfonso,Espinosa,Cirigo,Hombre,29,156,4.0,joseespinosa156@urcmac.edu.mx,espinosajose156
156,Albert,,Ruiz,Sebastian,Hombre,30,157,3.0,albertruiz157@urcmac.edu.mx,ruizalbert157
157,Juan ,,Zarate,Cirigo,Hombre,30,158,2.0,juan zarate158@urcmac.edu.mx,zaratejuan 158
158,Hector,,Adaya,Martinez,Hombre,25,159,4.0,hectoradaya159@urcmac.edu.mx,adayahector159
159,Albert,Donaji,Espinosa,Sanchez,Hombre,25,160,2.0,albertespinosa160@urcmac.edu.mx,espinosaalbert160
160,Jose,Alfonso,Adaya,Sanchez,Hombre,29,161,4.0,joseadaya161@urcmac.edu.mx,adayajose161
161,Hector,Pablo,Ruiz,Martinez,Hombre,20,162,3.0,hectorruiz162@urcmac.edu.mx,ruizhector162
162,Jose,,Ruiz,Sanchez,Hombre,27,163,3.0,joseruiz163@urcmac.edu.mx,ruizjose163
163,Albert,Donaji,Espinosa,Cirigo,Hombre,29,164,5.0,albertespinosa164@urcmac.edu.mx,espinosaalbert164
164,Juan ,Rogelio,Ruiz,Sanchez,Hombre,24,165,1.0,juan ruiz165@urcmac.edu.mx,ruizjuan 165
165,Jose,Donaji,Hidalgo,Sanchez,Hombre,22,166,4.0,josehidalgo166@urcmac.edu.mx,hidalgojose166
166,Juan ,Pablo,Zarate,Sanchez,Hombre,25,167,4.0,juan zarate167@urcmac.edu.mx,zaratejuan 167
167,Juan ,Rogelio,Ruiz,Cirigo,Hombre,20,168,5.0,juan ruiz168@urcmac.edu.mx,ruizjuan 168
168,Juan ,Pablo,Ruiz,Romero,Hombre,22,169,1.0,juan ruiz169@urcmac.edu.mx,ruizjuan 169
169,Jose,Donaji,Hidalgo,Cirigo,Hombre,22,170,3.0,josehidalgo170@urcmac.edu.mx,hidalgojose170
170,Juan ,,Adaya,Sanchez,Hombre,21,171,1.0,juan adaya171@urcmac.edu.mx,adayajuan 171
171,Demian,Rogelio,Ruiz,Sanchez,Hombre,23,172,4.0,demianruiz172@urcmac.edu.mx,ruizdemian172
172,Albert,,Ruiz,Cirigo,Hombre,30,173,2.0,albertruiz173@urcmac.edu.mx,ruizalbert173
173,Hector,Donaji,Espinosa,Sanchez,Hombre,28,174,2.0,hectorespinosa174@urcmac.edu.mx,espinosahector174
174,Juan ,,Adaya,Cirigo,Hombre,21,175,1.0,juan adaya175@urcmac.edu.mx,adayajuan 175
175,Demian,Pablo,Hidalgo,Romero,Hombre,24,176,2.0,demianhidalgo176@urcmac.edu.mx,hidalgodemian176
176,Demian,Rogelio,Ruiz,Cirigo,Hombre,29,177,2.0,demianruiz177@urcmac.edu.mx,ruizdemian177
177,Jose,Alfonso,Ruiz,Romero,Hombre,25,178,4.0,joseruiz178@urcmac.edu.mx,ruizjose178
178,Hector,Donaji,Espinosa,Cirigo,Hombre,30,179,5.0,hectorespinosa179@urcmac.edu.mx,espinosahector179
179,Juan ,Pablo,Ruiz,Martinez,Hombre,26,180,1.0,juan ruiz180@urcmac.edu.mx,ruizjuan 180
180,Albert,Donaji,Zarate,Sanchez,Hombre,20,181,3.0,albertzarate181@urcmac.edu.mx,zaratealbert181
181,Hector,Donaji,Adaya,Sanchez,Hombre,21,182,5.0,hectoradaya182@urcmac.edu.mx,adayahector182
182,Hector,Rogelio,Hidalgo,Romero,Hombre,25,183,2.0,hectorhidalgo183@urcmac.edu.mx,hidalgohector183
183,Albert,Donaji,Ruiz,Romero,Hombre,30,184,4.0,albertruiz184@urcmac.edu.mx,ruizalbert184
184,Albert,,Espinosa,Romero,Hombre,30,185,1.0,albertespinosa185@urcmac.edu.mx,espinosaalbert185
185,Demian,Pablo,Hidalgo,Martinez,Hombre,30,186,3.0,demianhidalgo186@urcmac.edu.mx,hidalgodemian186
186,Jose,Alfonso,Ruiz,Martinez,Hombre,29,187,5.0,joseruiz187@urcmac.edu.mx,ruizjose187
187,Jose,Donaji,Zarate,Sebastian,Hombre,23,188,3.0,josezarate188@urcmac.edu.mx,zaratejose188
188,Hector,Rogelio,Hidalgo,Martinez,Hombre,23,189,5.0,hectorhidalgo189@urcmac.edu.mx,hidalgohector189
189,Albert,Donaji,Ruiz,Martinez,Hombre,30,190,5.0,albertruiz190@urcmac.edu.mx,ruizalbert190
190,Albert,,Espinosa,Martinez,Hombre,28,191,5.0,albertespinosa191@urcmac.edu.mx,espinosaalbert191
191,Jose,Rogelio,Hidalgo,Sebastian,Hombre,24,192,1.0,josehidalgo192@urcmac.edu.mx,hidalgojose192
192,Hector,Rogelio,Adaya,Romero,Hombre,27,193,3.0,hectoradaya193@urcmac.edu.mx,adayahector193
193,Albert,Pablo,Ruiz,Sebastian,Hombre,26,194,3.0,albertruiz194@urcmac.edu.mx,ruizalbert194
194,Demian,,Ruiz,Sanchez,Hombre,22,195,2.0,demianruiz195@urcmac.edu.mx,ruizdemian195
195,Hector,Pablo,Espinosa,Romero,Hombre,23,196,5.0,hectorespinosa196@urcmac.edu.mx,espinosahector196
196,Jose,Donaji,Espinosa,Sebastian,Hombre,24,197,3.0,joseespinosa197@urcmac.edu.mx,espinosajose197
197,Albert,Donaji,Adaya,Sanchez,Hombre,20,198,2.0,albertadaya198@urcmac.edu.mx,adayaalbert198
198,Hector,Donaji,Ruiz,Romero,Hombre,26,199,2.0,hectorruiz199@urcmac.edu.mx,ruizhector199
199,Hector,Alfonso,Espinosa,Sanchez,Hombre,24,200,3.0,hectorespinosa200@urcmac.edu.mx,espinosahector200
200,Demian,Rogelio,Espinosa,Sebastian,Hombre,21,201,2.0,demianespinosa201@urcmac.edu.mx,espinosademian201
201,Demian,Alfonso,Hidalgo,Romero,Hombre,27,202,2.0,demianhidalgo202@urcmac.edu.mx,hidalgodemian202
202,Hector,Rogelio,Adaya,Martinez,Hombre,24,203,4.0,hectoradaya203@urcmac.edu.mx,adayahector203
203,Juan ,Rogelio,Hidalgo,Sanchez,Hombre,25,204,1.0,juan hidalgo204@urcmac.edu.mx,hidalgojuan 204
204,Jose,Donaji,Zarate,Cirigo,Hombre,28,205,2.0,josezarate205@urcmac.edu.mx,zaratejose205
205,Albert,,Zarate,Romero,Hombre,21,206,4.0,albertzarate206@urcmac.edu.mx,zaratealbert206
206,Jose,Donaji,Adaya,Sebastian,Hombre,22,207,3.0,joseadaya207@urcmac.edu.mx,adayajose207
207,Hector,Pablo,Espinosa,Martinez,Hombre,22,208,3.0,hectorespinosa208@urcmac.edu.mx,espinosahector208
208,Demian,Rogelio,Zarate,Sanchez,Hombre,29,209,3.0,demianzarate209@urcmac.edu.mx,zaratedemian209
209,Hector,Donaji,Ruiz,Martinez,Hombre,28,210,5.0,hectorruiz210@urcmac.edu.mx,ruizhector210
210,Albert,Rogelio,Hidalgo,Romero,Hombre,27,211,1.0,alberthidalgo211@urcmac.edu.mx,hidalgoalbert211
211,Hector,Pablo,Ruiz,Sebastian,Hombre,21,212,5.0,hectorruiz212@urcmac.edu.mx,ruizhector212
212,Albert,,Hidalgo,Sanchez,Hombre,28,213,1.0,alberthidalgo213@urcmac.edu.mx,hidalgoalbert213
213,Albert,Pablo,Ruiz,Cirigo,Hombre,26,214,4.0,albertruiz214@urcmac.edu.mx,ruizalbert214
214,Demian,Alfonso,Hidalgo,Martinez,Hombre,21,215,1.0,demianhidalgo215@urcmac.edu.mx,hidalgodemian215
215,Albert,,Zarate,Martinez,Hombre,23,216,2.0,albertzarate216@urcmac.edu.mx,zaratealbert216
216,Hector,Donaji,Hidalgo,Sanchez,Hombre,28,217,5.0,hectorhidalgo217@urcmac.edu.mx,hidalgohector217
217,Juan ,Donaji,Ruiz,Sanchez,Hombre,26,218,1.0,juan ruiz218@urcmac.edu.mx,ruizjuan 218
218,Demian,Rogelio,Espinosa,Cirigo,Hombre,27,219,1.0,demianespinosa219@urcmac.edu.mx,espinosademian219
219,Hector,Alfonso,Zarate,Sanchez,Hombre,23,220,1.0,hectorzarate220@urcmac.edu.mx,zaratehector220
220,Albert,Pablo,Espinosa,Romero,Hombre,22,221,1.0,albertespinosa221@urcmac.edu.mx,espinosaalbert221
221,Jose,Donaji,Adaya,Cirigo,Hombre,23,222,2.0,joseadaya222@urcmac.edu.mx,adayajose222
222,Hector,Alfonso,Ruiz,Romero,Hombre,23,223,4.0,hectorruiz223@urcmac.edu.mx,ruizhector223
223,Demian,Rogelio,Adaya,Sanchez,Hombre,25,224,3.0,demianadaya224@urcmac.edu.mx,adayademian224
224,Albert,Alfonso,Espinosa,Sanchez,Hombre,30,225,4.0,albertespinosa225@urcmac.edu.mx,espinosaalbert225
